code,name,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
38,경남 창원시,0.9985 ,-0.2073 ,1.2375 ,-0.1382 ,0.9968 ,0.0035 ,0.1159 ,0.1603 ,0.3388 ,0.0427 
38,경남 창녕군,0.9866 ,-0.3917 ,0.9634 ,0.1129 ,0.9943 ,0.0277 ,0.2571 ,-0.0370 ,-0.4049 ,-0.3103
38,경남 진주시,1.0031 ,-0.2538 ,1.0247 ,-0.0681 ,0.9955 ,0.0367 ,0.0538 ,0.0835 ,-0.1897 ,-0.1622 
38,경남 의령군,1.0046 ,-0.4082 ,0.8644 ,-0.2804 ,0.9970 ,0.0227 ,0.2730 ,0.1670 ,-0.2389 ,0.1129
38,경남 양산시,1.0267 ,-0.0434 ,1.0918 ,0.0389 ,0.9985 ,0.0388 ,0.0893 ,0.0323 ,-0.0076 ,0.1479
38,경남 산청군,0.9982 ,-0.3104 ,1.1301 ,-0.1309 ,0.9938 ,0.0055 ,0.1080 ,0.0711 ,0.1139 ,0.0254
38,경남 사천시,0.9887 ,-0.6223 ,1.0858 ,-0.0128 ,0.9965 ,0.0050 ,0.0285 ,0.0488 ,-0.4655 ,0.0051 
38,경남 밀양시,0.9905 ,-0.2215 ,0.7892 ,-0.0636 ,0.9985 ,0.0410 ,0.1103 ,0.0377 ,0.0445 ,0.0595
38,경남 남해군,1.0044 ,-0.3909 ,1.0744 ,-1.3221 ,0.9969 ,0.0105 ,0.0630 ,0.0672 ,0.2360 ,0.0332 
38,경남 김해시,0.9982 ,-0.3246 ,1.1461 ,-0.1294 ,0.9964 ,0.0796 ,0.0948 ,0.0486 ,-0.0144 ,0.0979 
38,경남 고성군,1.0044 ,-0.4979 ,1.0680 ,-0.0530 ,0.9960 ,0.0433 ,0.1037 ,0.0416 ,-0.0218 ,-0.0130 
38,경남 거창군,0.9873 ,-0.3560 ,1.1335 ,0.0159 ,1.0000 ,0.0303 ,0.1246 ,0.0421 ,0.0663 ,0.1985 
38,경남 거제시,1.0013 ,-0.1568 ,0.9343 ,-0.1746 ,0.9982 ,0.0718 ,0.1488 ,0.0748 ,0.1312 ,-0.0196 
31,경기 화성시,0.9988 ,-0.5409 ,1.1114 ,-0.0890 ,0.9984 ,0.0255 ,0.0748 ,0.1453 ,-0.1298 ,0.1301 
31,경기 하남시,0.9989 ,-0.2099 ,1.0512 ,-0.0622 ,0.9970 ,-0.0178 ,0.0633 ,0.0995 ,0.0362 ,-0.0054 
31,경기 포천시,1.0204 ,-0.5386 ,1.0131 ,-0.2061 ,0.9969 ,-0.0293 ,-0.0341 ,0.0846 ,0.0892 ,-0.0895 
31,경기 평택시,1.0153 ,-0.3993 ,1.1084 ,-0.1025 ,0.9962 ,0.0730 ,0.5271 ,0.2215 ,0.1942 ,-0.1574 
31,경기 파주시,1.0103 ,-0.3802 ,1.0432 ,-0.2866 ,0.9969 ,0.0970 ,0.0995 ,0.0117 ,-0.3537 ,-0.2330 
31,경기 이천시,1.0151 ,-0.1987 ,1.0249 ,-0.1667 ,0.9980 ,-0.0257 ,0.0797 ,0.1271 ,0.2669 ,0.0016 
31,경기 의정부시,1.0105 ,-0.3586 ,1.0169 ,-0.1117 ,0.9954 ,0.0460 ,0.1495 ,0.1386 ,-0.1833 ,-0.1209 
31,경기 의왕시,0.9990 ,-0.2390 ,1.0787 ,-0.0731 ,0.9954 ,-0.0847 ,0.1224 ,0.0576 ,0.0198 ,-0.1229 
31,경기 용인시,1.0092 ,-0.2384 ,1.0383 ,-0.5010 ,0.9971 ,0.0497 ,0.3399 ,0.2558 ,-0.2536 ,-0.6193 
31,경기 오산시,0.9891 ,-0.2997 ,0.9588 ,-0.1013 ,0.9966 ,0.0303 ,0.2520 ,0.2237 ,0.2927 ,0.0448 
31,경기 연천군,0.9792 ,-0.3627 ,1.0064 ,-0.3963 ,0.9979 ,-0.0200 ,0.2007 ,0.0544 ,-0.0587 ,-0.3534 
31,경기 여주시,1.0352 ,-0.0120 ,1.0204 ,-0.1438 ,0.9980 ,-0.0193 ,0.1142 ,0.1274 ,-0.0811 ,-0.0464 
31,경기 양평군,1.0487 ,-0.1539 ,1.0108 ,-0.1471 ,0.9965 ,0.0232 ,0.0226 ,0.7470 ,-0.0939 ,0.0942 
31,경기 양주시,0.9907 ,-0.3472 ,0.9965 ,0.0029 ,0.9966 ,0.0312 ,0.1635 ,0.2484 ,-0.4629 ,-0.2844 
31,경기 안양시,0.9949 ,-0.2266 ,0.9756 ,-0.0760 ,0.9956 ,0.0215 ,0.0607 ,0.1255 ,-0.0737 ,-0.0560 
31,경기 안성시,1.0167 ,-0.1569 ,1.0026 ,-0.0462 ,0.9986 ,0.0190 ,0.0977 ,0.1629 ,-0.3176 ,0.0422 
31,경기 안산시,0.9989 ,-0.2972 ,2.1459 ,-0.2053 ,0.9951 ,-0.0024 ,0.0722 ,0.0311 ,-0.2889 ,-0.1179 
31,경기 시흥시,1.0229 ,-0.1769 ,1.0983 ,-0.0474 ,0.9959 ,0.0284 ,0.1040 ,0.3980 ,-0.1561 ,0.1293 
31,경기 수원시,1.0015 ,-0.3422 ,1.0333 ,-0.0749 ,0.9962 ,0.0601 ,0.0514 ,0.0956 ,0.0069 ,-0.0619 
31,경기 성남시,1.0082 ,-0.2897 ,1.0184 ,-0.0327 ,0.9967 ,0.0674 ,0.1123 ,0.1462 ,0.5255 ,0.0249 
31,경기 부천시,1.0071 ,-0.2546 ,1.0268 ,-0.0650 ,0.9942 ,0.0885 ,0.0878 ,0.1371 ,0.0668 ,-0.2054 
31,경기 동두천시,0.9869 ,-0.2435 ,0.8879 ,-0.0344 ,0.9944 ,0.0290 ,0.1336 ,0.1209 ,-0.2786 ,-0.1986 
31,경기 남양주시,1.0001 ,-0.3429 ,1.0925 ,-0.0449 ,0.9941 ,0.0333 ,0.0070 ,0.0767 ,-0.0527 ,-0.2517 
31,경기 김포시,1.0031 ,-0.4385 ,0.9658 ,-0.2150 ,0.9960 ,0.0179 ,0.2761 ,0.1032 ,-0.0053 ,0.2321 
31,경기 군포시,1.0258 ,-0.2439 ,0.9305 ,-0.0742 ,0.9949 ,-0.0332 ,0.1974 ,-0.1136 ,0.2197 ,0.0499 
31,경기 구리시,0.9990 ,-0.2892 ,1.0312 ,-0.0770 ,0.9944 ,-0.0600 ,0.1290 ,0.0619 ,-0.5260 ,-0.1079 
31,경기 광주시,1.0014 ,-0.2867 ,1.0458 ,-0.0623 ,0.9977 ,0.1048 ,0.0441 ,0.1078 ,0.1343 ,-0.2524 
31,경기 광명시,0.9955 ,-0.2635 ,1.0118 ,-0.0254 ,0.9944 ,-0.0274 ,0.0494 ,0.0640 ,-0.1431 ,-0.0632 
31,경기 과천시,1.0021 ,-0.0629 ,1.0013 ,-0.2114 ,0.9970 ,-0.0406 ,0.2403 ,0.3656 ,-0.2637 ,-1.0019 
31,경기 고양시,1.0056 ,-0.4039 ,1.0462 ,-0.0606 ,0.9952 ,0.0266 ,0.0417 ,0.1164 ,0.1243 ,0.0400 
31,경기 가평군,0.9963 ,-0.2857 ,1.0707 ,0.0090 ,0.9967 ,-0.0216 ,0.2647 ,0.3513 ,-0.8024 ,-0.0113 
32,강원 횡성군,1.0090 ,-0.4360 ,1.0087 ,-0.5523 ,0.9952 ,0.0575 ,0.3320 ,0.2640 ,0.1026 ,-0.0914 
32,강원 화천군,1.0307 ,-0.2795 ,1.1206 ,-0.1038 ,0.9935 ,0.0413 ,0.1686 ,0.0554 ,-0.4700 ,-0.0148 
32,강원 홍천군,1.0164 ,-0.1878 ,1.0206 ,0.0064 ,0.9960 ,0.0102 ,0.2166 ,0.1881 ,-0.0990 ,-0.0390 
32,강원 평창군,1.0712 ,-0.1799 ,1.0201 ,-3.1930 ,0.9960 ,0.0561 ,0.2246 ,0.1378 ,-0.0124 ,-0.1175 
32,강원 태백시,1.0002 ,0.1738 ,1.0920 ,-0.2139 ,0.9948 ,0.0812 ,0.2310 ,0.1735 ,-0.2942 ,0.0004 
32,강원 춘천시,1.0103 ,-0.0689 ,0.9673 ,-0.0850 ,0.9952 ,0.0604 ,0.1292 ,0.1480 ,-0.3609 ,-0.0263 
32,강원 철원군,0.9977 ,-0.2474 ,1.1125 ,-0.0918 ,0.9938 ,0.0617 ,0.4570 ,0.0523 ,0.2631 ,0.0229 
32,강원 정선군,1.0063 ,-0.1000 ,0.9982 ,-0.3416 ,0.9974 ,0.0274 ,0.3142 ,0.1244 ,-1.2325 ,-0.2273 
32,강원 인제군,0.9993 ,-0.2956 ,1.0949 ,-0.2029 ,0.9942 ,0.0380 ,0.0531 ,0.0736 ,0.1019 ,0.0266 
32,강원 원주시,1.0089 ,-0.1662 ,1.0442 ,-0.3696 ,0.9962 ,0.0999 ,0.2511 ,0.1377 ,0.0774 ,0.0090 
32,강원 영월군,1.0134 ,-0.1551 ,1.1177 ,-0.0962 ,0.9932 ,0.0843 ,0.1509 ,0.1732 ,-0.3069 ,-0.2305 
32,강원 양양군,0.9993 ,-0.2571 ,1.0112 ,-0.1744 ,0.9948 ,0.0267 ,0.1512 ,0.0453 ,-0.1186 ,0.0219 
32,강원 양구군,1.0287 ,-0.0841 ,1.0980 ,-0.1873 ,0.9930 ,0.0544 ,0.1037 ,0.1476 ,0.1475 ,0.0595 
32,강원 속초시,1.0091 ,-0.2115 ,1.0159 ,-0.2246 ,0.9945 ,0.0024 ,0.2212 ,0.1789 ,0.0319 ,-0.2207 
32,강원 삼척시,1.0090 ,-0.0240 ,1.0866 ,-0.1294 ,0.9922 ,0.0456 ,0.3579 ,0.0710 ,-0.0657 ,0.1050 
32,강원 동해시,1.0016 ,-0.1737 ,1.0618 ,0.0289 ,0.9934 ,-0.0388 ,0.4055 ,0.4499 ,0.0593 ,-0.4637 
32,강원 고성군,0.9973 ,-0.2485 ,1.0159 ,-0.1223 ,0.9944 ,0.0475 ,0.1989 ,0.1572 ,-0.0058 ,-0.0407 
32,강원 강릉시,1.0061 ,-0.0701 ,1.0629 ,0.1621 ,0.9946 ,0.0043 ,0.1141 ,0.2179 ,-0.0849 ,-0.0519 
